"Year","LocationAbbr","LocationDesc","FacilityName","MedicalDirector","Address","City","Zipcode","Phone","Clinic Status","Topic","SubTopic","Data_Value","ClinicId","TopicId","SubTopicId","Geolocation"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","SART member","Yes","1","TOP01","ST14","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Verified lab accreditation","Yes","1","TOP01","ST15","POINT (-87.639 41.8945)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Total cycles","3084","2","TOP01","ST01","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Fertility preservation cycles","91","2","TOP01","ST02","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Pregnancies","931","2","TOP01","ST03","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Deliveries","761","2","TOP01","ST04","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Total infants born","780","2","TOP01","ST05","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Donor egg services","Yes","2","TOP01","ST09","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Donated embryo services","Yes","2","TOP01","ST10","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","2","TOP01","ST11","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Egg cryopreservation services","Yes","2","TOP01","ST12","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Gestational carrier services","Yes","2","TOP01","ST13","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","SART member","Yes","2","TOP01","ST14","POINT (-75.4619 40.0681)"
"2022","PA","Pennsylvania","Shady Grove Fertility-Pennsylvania","Isaac E. Sasson, MD, PHD","945 Chesterbrook Blvd","Wayne","19087","(610) 981-6000","Open","Clinic Services & Profile","Verified lab accreditation","Yes","2","TOP01","ST15","POINT (-75.4619 40.0681)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Total cycles","242","3","TOP01","ST01","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Fertility preservation cycles","5","3","TOP01","ST02","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Pregnancies","43","3","TOP01","ST03","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Deliveries","29","3","TOP01","ST04","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Total infants born","29","3","TOP01","ST05","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Donor egg services","No","3","TOP01","ST09","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Donated embryo services","No","3","TOP01","ST10","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","3","TOP01","ST11","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Egg cryopreservation services","Yes","3","TOP01","ST12","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Gestational carrier services","Yes","3","TOP01","ST13","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","SART member","No","3","TOP01","ST14","POINT (-95.5123 29.7836)"
"2022","TX","Texas","Houston Infertility Clinic, Sonja Kristiansen, MD","Sonja B. Kristiansen, MD","9055 Katy Freeway, Suite 450","Houston","77024","(713) 862-6181","Open","Clinic Services & Profile","Verified lab accreditation","Yes","3","TOP01","ST15","POINT (-95.5123 29.7836)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Total cycles","465","4","TOP01","ST01","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Fertility preservation cycles","15","4","TOP01","ST02","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Pregnancies","132","4","TOP01","ST03","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Deliveries","105","4","TOP01","ST04","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Total infants born","106","4","TOP01","ST05","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Donor egg services","Yes","4","TOP01","ST09","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Donated embryo services","No","4","TOP01","ST10","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","4","TOP01","ST11","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Egg cryopreservation services","Yes","4","TOP01","ST12","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Gestational carrier services","Yes","4","TOP01","ST13","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","SART member","No","4","TOP01","ST14","POINT (-81.5907 30.2577)"
"2022","FL","Florida","Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine","Michael D. Fox, MD","7051 Southpoint Pkwy, Suite 200","Jacksonville","32216","(904) 493-2229","Open","Clinic Services & Profile","Verified lab accreditation","Yes","4","TOP01","ST15","POINT (-81.5907 30.2577)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Total cycles","264","6","TOP01","ST01","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Fertility preservation cycles","12","6","TOP01","ST02","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Pregnancies","77","6","TOP01","ST03","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Deliveries","60","6","TOP01","ST04","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Total infants born","64","6","TOP01","ST05","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Donor egg services","Yes","6","TOP01","ST09","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Donated embryo services","Yes","6","TOP01","ST10","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","6","TOP01","ST11","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Egg cryopreservation services","Yes","6","TOP01","ST12","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Gestational carrier services","No","6","TOP01","ST13","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","SART member","Yes","6","TOP01","ST14","POINT (-76.6611 40.2702)"
"2022","PA","Pennsylvania","Penn State Milton S. Hershey Medical Center","Samantha Butts, MD","35 Hope Dr, Suite 202","Hershey","17033","(717) 531-6731","Open","Clinic Services & Profile","Verified lab accreditation","Yes","6","TOP01","ST15","POINT (-76.6611 40.2702)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Total cycles","2385","7","TOP01","ST01","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Fertility preservation cycles","716","7","TOP01","ST02","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Pregnancies","340","7","TOP01","ST03","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Deliveries","275","7","TOP01","ST04","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Total infants born","296","7","TOP01","ST05","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Donor egg services","Yes","7","TOP01","ST09","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Donated embryo services","Yes","7","TOP01","ST10","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","7","TOP01","ST11","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Egg cryopreservation services","Yes","7","TOP01","ST12","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Gestational carrier services","Yes","7","TOP01","ST13","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","SART member","No","7","TOP01","ST14","POINT (-117.815 33.6863)"
"2022","CA","California","Life IVF Center","Frank D. Yelian, MD, PHD","3500 Barranca Pkwy, Suite 300","Irvine","92606","(949) 788-1133","Open","Clinic Services & Profile","Verified lab accreditation","Yes","7","TOP01","ST15","POINT (-117.815 33.6863)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Total cycles","182","8","TOP01","ST01","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Fertility preservation cycles","36","8","TOP01","ST02","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Pregnancies","40","8","TOP01","ST03","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Deliveries","29","8","TOP01","ST04","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Total infants born","32","8","TOP01","ST05","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Donor egg services","Yes","8","TOP01","ST09","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Donated embryo services","Yes","8","TOP01","ST10","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","8","TOP01","ST11","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Egg cryopreservation services","Yes","8","TOP01","ST12","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Gestational carrier services","Yes","8","TOP01","ST13","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","SART member","Yes","8","TOP01","ST14","POINT (-75.1561 39.9443)"
"2022","PA","Pennsylvania","Society Hill Reproductive Medicine","Maureen P. Kelly, MD","822 Pine St, Suite 4B","Philadelphia","19107","(215) 829-8110","Open","Clinic Services & Profile","Verified lab accreditation","Yes","8","TOP01","ST15","POINT (-75.1561 39.9443)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Total cycles","495","9","TOP01","ST01","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Fertility preservation cycles","29","9","TOP01","ST02","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Pregnancies","195","9","TOP01","ST03","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Deliveries","161","9","TOP01","ST04","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Total infants born","174","9","TOP01","ST05","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Donor egg services","Yes","9","TOP01","ST09","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Donated embryo services","Yes","9","TOP01","ST10","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","9","TOP01","ST11","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Egg cryopreservation services","Yes","9","TOP01","ST12","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Gestational carrier services","Yes","9","TOP01","ST13","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","SART member","Yes","9","TOP01","ST14","POINT (-97.5009 35.4775)"
"2022","OK","Oklahoma","OU Health Reproductive Medicine","LaTasha B. Craig, MD","840 Research Pkwy, Suite 200","Oklahoma City","73104","(405) 271-1616","Open","Clinic Services & Profile","Verified lab accreditation","Yes","9","TOP01","ST15","POINT (-97.5009 35.4775)"
"2022","SC","South Carolina","Piedmont Reproductive Endocrinology Group, PA","John E. Nichols, MD","17 Caledon Ct, Suite C","Greenville","29615","(864) 232-7734","Open","Clinic Services & Profile","Total cycles","1807","10","TOP01","ST01","POINT (-82.3396 34.8631)"
"2022","SC","South Carolina","Piedmont Reproductive Endocrinology Group, PA","John E. Nichols, MD","17 Caledon Ct, Suite C","Greenville","29615","(864) 232-7734","Open","Clinic Services & Profile","Fertility preservation cycles","33","10","TOP01","ST02","POINT (-82.3396 34.8631)"
"2022","SC","South Carolina","Piedmont Reproductive Endocrinology Group, PA","John E. Nichols, MD","17 Caledon Ct, Suite C","Greenville","29615","(864) 232-7734","Open","Clinic Services & Profile","Pregnancies","556","10","TOP01","ST03","POINT (-82.3396 34.8631)"
"2022","SC","South Carolina","Piedmont Reproductive Endocrinology Group, PA","John E. Nichols, MD","17 Caledon Ct, Suite C","Greenville","29615","(864) 232-7734","Open","Clinic Services & Profile","Deliveries","457","10","TOP01","ST04","POINT (-82.3396 34.8631)"
"2022","SC","South Carolina","Piedmont Reproductive Endocrinology Group, PA","John E. Nichols, MD","17 Caledon Ct, Suite C","Greenville","29615","(864) 232-7734","Open","Clinic Services & Profile","Total infants born","471","10","TOP01","ST05","POINT (-82.3396 34.8631)"
"2022","SC","South Carolina","Piedmont Reproductive Endocrinology Group, PA","John E. Nichols, MD","17 Caledon Ct, Suite C","Greenville","29615","(864) 232-7734","Open","Clinic Services & Profile","Donor egg services","Yes","10","TOP01","ST09","POINT (-82.3396 34.8631)"
"2022","SC","South Carolina","Piedmont Reproductive Endocrinology Group, PA","John E. Nichols, MD","17 Caledon Ct, Suite C","Greenville","29615","(864) 232-7734","Open","Clinic Services & Profile","Donated embryo services","Yes","10","TOP01","ST10","POINT (-82.3396 34.8631)"
