year,locationabbr,locationdesc,facilityname,city,clinic_status,topic,subtopic,data_value,clinicid,geolocation,year
2020,WA,Washington,"Overlake Reproductive Health, Inc., PS",Bellevue,Open,Clinic Services & Profile,Total infants born,98,96,POINT (-122.1893912 47.6244604),2020
2020,MO,Missouri,STL Fertility,St. Louis,Reorganized,Clinic Services & Profile,Egg cryopreservation services,Yes,164,POINT (-90.4439345 38.6659105),2020
2020,FL,Florida,Florida Fertility Institute,Clearwater,Open,Clinic Services & Profile,Total cycles,376,383,POINT (-82.7074751 28.0103991),2020
2020,CA,California,"The Fertility Institutes-Los Angeles, New York, Guadalajara",Encino,Open,Clinic Services & Profile,Gestational carrier services,Yes,28,POINT (-118.4824828 34.1557673),2020
2020,MN,Minnesota,"Midwest Center for Reproductive Health, PA",Maple Grove,Open,Clinic Services & Profile,Pregnancies,121,140,POINT (-93.4332879 45.0957075),2020
2020,IL,Illinois,Advanced Reproductive Center,Rockford,Open,Clinic Services & Profile,Total infants born,106,623,POINT (-88.9989219 42.2719875),2020
2020,HI,Hawaii,"Kaiser Permanente Hawaii Region, Reproductive Medicine Division",Honolulu,Open,Clinic Services & Profile,Fertility preservation cycles,0,716,POINT (-157.8462201 21.3008969),2020
2020,MS,Mississippi,University of Mississippi Medical Center,Flowood,Open,Clinic Services & Profile,Deliveries,20,114,POINT (-90.1127638 32.3275748),2020
2020,ND,North Dakota,Sanford Health Reproductive Medicine Institute,Fargo,Open,Clinic Services & Profile,Donated embryo services,No,360,POINT (-96.7981057 46.8304166),2020
2020,FL,Florida,IVF Florida Reproductive Associates,Margate,Open,Clinic Services & Profile,Donated embryo services,Yes,192,POINT (-80.2007799 26.2641888),2020
2020,GA,Georgia,"Pathways Fertility, Pathways Fertility",Atlanta,Reorganized,Clinic Services & Profile,Egg cryopreservation services,Yes,837,POINT (-84.38798 33.749),2020
2020,NV,Nevada,Fertility Center of Las Vegas,Las Vegas,Open,Clinic Services & Profile,Deliveries,176,233,POINT (-115.2895463 36.1429759),2020
2020,TX,Texas,CCRM Dallas-Fort Worth,Frisco,Open,Clinic Services & Profile,Donated embryo services,No,427,POINT (-96.8141914 33.108888),2020
2020,WA,Washington,"Overlake Reproductive Health, Inc., PS",Bellevue,Open,Clinic Services & Profile,Total cycles,420,96,POINT (-122.1893912 47.6244604),2020
2020,NC,North Carolina,UNC Fertility,Raleigh,Open,Clinic Services & Profile,SART member,Yes,344,POINT (-78.7636599 35.9067499),2020
2020,WA,Washington,Pacific Northwest Fertility and IVF Specialists,Seattle,Open,Clinic Services & Profile,SART member,Yes,128,POINT (-122.3241094 47.6091997),2020
2020,AZ,Arizona,IVF Phoenix,Scottsdale,Open,Clinic Services & Profile,Fertility preservation cycles,*,384,POINT (-111.8755363 33.5756287),2020
2020,NC,North Carolina,"North Carolina Center for Reproductive Medicine, The Talbert Fertility Institute",Cary,Open,Clinic Services & Profile,Pregnancies,108,347,POINT (-78.7866267 35.7375177),2020
2020,HI,Hawaii,Fertility Institute of Hawaii,Honolulu,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,219,POINT (-157.8394051 21.2996001),2020
2020,MD,Maryland,Shady Grove Fertility-Towson,Towson,Open,Clinic Services & Profile,Gestational carrier services,Yes,108,POINT (-76.6002778 39.4068181),2020
2020,TN,Tennessee,"Southeastern Center for Fertility and Reproductive Surgery, PLLC",Knoxville,Open,Clinic Services & Profile,Donated embryo services,Yes,436,POINT (-84.1503151 35.8857761),2020
2020,TX,Texas,"Houston Infertility Clinic, Sonja Kristiansen, MD",Houston,Open,Clinic Services & Profile,SART member,No,3,POINT (-95.5122645 29.7835813),2020
2020,OK,Oklahoma,Tulsa Fertility Center,Tulsa,Open,Clinic Services & Profile,Deliveries,55,111,POINT (-95.9843317 36.1412075),2020
2020,FL,Florida,"Specialists in Reproductive Medicine & Surgery, PA, Embryo Donation International, PL",Fort Myers,Open,Clinic Services & Profile,Gestational carrier services,Yes,87,POINT (-81.8777924 26.559679),2020
2020,KS,Kansas,Center for Advanced Reproductive Medicine,Overland Park,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,508,POINT (-94.6481872 38.933094),2020
2020,CT,Connecticut,Yale Fertility Center,Orange,Open,Clinic Services & Profile,Pregnancies,191,431,POINT (-72.9970282 41.2537803),2020
2020,CA,California,Innovative Fertility Center,Manhattan Beach,Reorganized,Clinic Services & Profile,Fertility preservation cycles,6,512,POINT (-118.395726 33.9000539),2020
2020,CA,California,Reproductive Partners Fertility Center-San Diego,La Jolla,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,339,POINT (-117.2264406 32.8832558),2020
2020,TX,Texas,IVFMD-Irving,Irving,Open,Clinic Services & Profile,Donor egg services,Yes,469,POINT (-96.9555275 32.9097834),2020
2020,CO,Colorado,Colorado Reproductive Endocrinology,Denver,Open,Clinic Services & Profile,Total cycles,169,150,POINT (-104.9344136 39.7327454),2020
2020,TX,Texas,Brooke Army Medical Center,Fort Sam Houston,Reorganized,Clinic Services & Profile,Deliveries,35,289,POINT (-97.3159704 37.7017739),2020
2020,NY,New York,"Legacy IVF, LLC",New York,Open,Clinic Services & Profile,Donated embryo services,Yes,824,POINT (-73.9511915 40.7822979),2020
2020,NY,New York,"Boston IVF, The Albany Center",Loudonville,Open,Clinic Services & Profile,Total cycles,740,507,POINT (-73.7675463 42.697359),2020
2020,NC,North Carolina,"North Carolina Center for Reproductive Medicine, The Talbert Fertility Institute",Cary,Open,Clinic Services & Profile,Fertility preservation cycles,*,347,POINT (-78.7866267 35.7375177),2020
2020,AL,Alabama,Center for Reproductive Medicine,Mobile,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,212,POINT (-88.1029 30.6975),2020
2020,MN,Minnesota,Mayo Clinic Assisted Reproductive Technologies,Rochester,Open,Clinic Services & Profile,Fertility preservation cycles,34,523,POINT (-92.4667508 44.0226729),2020
2020,NY,New York,"Global Fertility & Genetics, NY",New York,Open,Clinic Services & Profile,Donated embryo services,No,819,POINT (-73.9698802 40.7615203),2020
2020,OR,Oregon,"University Fertility Consultants, Oregon Health & Science University",Portland,Open,Clinic Services & Profile,Donated embryo services,Yes,517,POINT (-122.6713956 45.4984733),2020
2020,MO,Missouri,MCRM Fertility,Chesterfield,Open,Clinic Services & Profile,Fertility preservation cycles,35,609,POINT (-90.6007656 38.6720126),2020
2020,CA,California,"Unity Fertility Center, LLC",Pasadena,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,810,POINT (-118.150714 34.134987),2020
2020,FL,Florida,Palm Beach Fertility Center,Boca Raton,Open,Clinic Services & Profile,Fertility preservation cycles,11,453,POINT (-80.1546332 26.3511591),2020
2020,TX,Texas,Houston Fertility Institute,Houston,Reorganized,Clinic Services & Profile,Embryo cryopreservation services,Yes,104,POINT (-95.5221211 29.7403727),2020
2020,IL,Illinois,InVia Fertility Specialists,Hoffman Estates,Open,Clinic Services & Profile,Donor egg services,Yes,425,POINT (-88.1412181 42.0541958),2020
2020,KY,Kentucky,Bluegrass Fertility Center,Lexington,Open,Clinic Services & Profile,Fertility preservation cycles,5,328,POINT (-84.5136597 38.0182113),2020
2020,OH,Ohio,Bethesda Fertility Center,Cincinnati,Open,Clinic Services & Profile,Donated embryo services,Yes,285,POINT (-84.3404577 39.2512865),2020
2020,CA,California,Loma Linda University Center for Fertility and IVF,Loma Linda,Open,Clinic Services & Profile,Verified lab accreditation,Pending,199,POINT (-117.2620386 34.0471759),2020
2020,ID,Idaho,Idaho Center for Reproductive Medicine,Boise,Open,Clinic Services & Profile,Verified lab accreditation,Yes,35,POINT (-116.1875685 43.6032213),2020
2020,IL,Illinois,Advanced Fertility Center of Chicago,Gurnee,Open,Clinic Services & Profile,SART member,Yes,300,POINT (-87.8993371 42.3573697),2020
2020,GA,Georgia,Servy Fertility Institute,Augusta,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,438,POINT (-81.9902529 33.4746478),2020
2020,MA,Massachusetts,"Boston IVF, LLC",Waltham,Open,Clinic Services & Profile,Deliveries,1817,490,POINT (-71.2638486 42.3927601),2020
2020,KS,Kansas,"Midwest Reproductive Center, PA",Olathe,Open,Clinic Services & Profile,Fertility preservation cycles,6,243,POINT (-94.824476 38.8527687),2020
2020,GA,Georgia,The Georgia Center for Reproductive Medicine,Savannah,Open,Clinic Services & Profile,Deliveries,84,144,POINT (-81.0995843 32.0275801),2020
2020,LA,Louisiana,Fertility Institute of New Orleans,Mandeville,Open,Clinic Services & Profile,Gestational carrier services,Yes,496,POINT (-90.0923752 30.3769991),2020
2020,TX,Texas,Dallas-Fort Worth Fertility Associates,Dallas,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,177,POINT (-96.76626 32.8835071),2020
2020,MA,Massachusetts,CCRM Boston,Newton,Open,Clinic Services & Profile,Total infants born,246,801,POINT (-71.1800046 42.3186196),2020
2020,MI,Michigan,Michigan Reproductive Medicine,Bloomfield Hills,Open,Clinic Services & Profile,SART member,No,364,POINT (-83.2485098 42.5906368),2020
2020,CA,California,Western Fertility Institute,Encino,Open,Clinic Services & Profile,Gestational carrier services,Yes,706,POINT (-118.487675 34.1566701),2020
2020,FL,Florida,Assisted Fertility Program,Jacksonville,Open,Clinic Services & Profile,Deliveries,25,190,POINT (-81.6010292 30.2873088),2020
2020,OH,Ohio,UC Center for Reproductive Health,West Chester,Open,Clinic Services & Profile,Verified lab accreditation,Yes,355,POINT (-84.3679973 39.3580095),2020
2020,CA,California,Spring Fertility,San Francisco,Open,Clinic Services & Profile,Deliveries,554,723,POINT (-122.4224403 37.7867053),2020
2020,NY,New York,Fertility New York,New York,Open,Clinic Services & Profile,Donor egg services,No,836,POINT (-73.9810516 40.7670726),2020
2020,OH,Ohio,Reproductive Gynecology & Infertility-Akron,Akron,Open,Clinic Services & Profile,Pregnancies,342,382,POINT (-81.4995028 41.0822656),2020
2020,IL,Illinois,InVia Fertility Specialists,Hoffman Estates,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,425,POINT (-88.1412181 42.0541958),2020
2020,IL,Illinois,"Chicago Infertility Associates, LTD",Elk Grove Village,Open,Clinic Services & Profile,Fertility preservation cycles,*,100,POINT (-88.0164398 42.0046582),2020
2020,NY,New York,"Global Fertility & Genetics, NY",New York,Open,Clinic Services & Profile,Donor egg services,Yes,819,POINT (-73.9698802 40.7615203),2020
2020,MA,Massachusetts,CCRM Boston,Newton,Open,Clinic Services & Profile,Verified lab accreditation,Yes,801,POINT (-71.1800046 42.3186196),2020
2020,TN,Tennessee,Nashville Fertility Center,Nashville,Open,Clinic Services & Profile,Donor egg services,Yes,258,POINT (-86.8096365 36.1550075),2020
2020,MO,Missouri,Center for Reproductive Medicine & Robotic Surgery,St. Louis,Open,Clinic Services & Profile,Donor egg services,Yes,187,POINT (-90.4443225 38.6731328),2020
2020,CA,California,Lane Fertility Institute,Novato,Open,Clinic Services & Profile,Fertility preservation cycles,41,200,POINT (-122.5596395 38.0973474),2020
2020,TX,Texas,Houston Fertility Institute,Houston,Reorganized,Clinic Services & Profile,Gestational carrier services,Yes,104,POINT (-95.5221211 29.7403727),2020
2020,NY,New York,New Hope Fertility Center,New York,Open,Clinic Services & Profile,Donor egg services,Yes,31,POINT (-73.9828792 40.7673752),2020
2020,KS,Kansas,"Midwest Reproductive Center, PA",Olathe,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,243,POINT (-94.824476 38.8527687),2020
2020,CO,Colorado,Denver Fertility-Albrecht Women's Care,Englewood,Open,Clinic Services & Profile,Fertility preservation cycles,7,36,POINT (-104.86531 39.5386666),2020
2020,VA,Virginia,Carilion Clinic Reproductive Medicine and Fertility,Roanoke,Open,Clinic Services & Profile,Total infants born,31,816,POINT (-79.9418516 37.2614056),2020
2020,CT,Connecticut,Park Avenue Fertility and Reproductive Medicine,Trumbull,Open,Clinic Services & Profile,SART member,Yes,414,POINT (-73.243205 41.2274192),2020
2020,FL,Florida,The IVF Center,Winter Park,Reorganized,Clinic Services & Profile,Fertility preservation cycles,*,295,POINT (-81.2756707 28.611928),2020
2020,CT,Connecticut,Park Avenue Fertility and Reproductive Medicine,Trumbull,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,414,POINT (-73.243205 41.2274192),2020
2020,PA,Pennsylvania,Geisinger Medical Center Fertility Program,Danville,Open,Clinic Services & Profile,Donor egg services,Yes,409,POINT (-76.6053472 40.9677777),2020
2020,TN,Tennessee,Tennessee Fertility Institute,Franklin,Open,Clinic Services & Profile,Donor egg services,Yes,715,POINT (-86.8001856 35.9602141),2020
2020,MD,Maryland,"Endrika Hinton, MD",Lutherville,Open,Clinic Services & Profile,Deliveries,10,419,POINT (-76.6689376 39.4202919),2020
2020,NY,New York,NYU Langone Reproductive Specialists of New York,Mineola,Open,Clinic Services & Profile,Total infants born,179,64,POINT (-73.6389425 40.7394896),2020
2020,NY,New York,Chelsea Fertility NYC,New York,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,607,POINT (-73.979251 40.748924),2020
2020,WA,Washington,Poma Fertility,Kirkland,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,457,POINT (-122.1794818 47.7144649),2020
2020,TX,Texas,Brooke Army Medical Center,Fort Sam Houston,Reorganized,Clinic Services & Profile,Total cycles,140,289,POINT (-97.3159704 37.7017739),2020
2020,WA,Washington,Olympia Women's Health,Olympia,Open,Clinic Services & Profile,Fertility preservation cycles,0,415,POINT (-122.950427 47.0468315),2020
2020,MN,Minnesota,"Center for Reproductive Medicine, Advanced Reproductive Technologies",Minneapolis,Open,Clinic Services & Profile,Verified lab accreditation,Yes,70,POINT (-93.2630386 44.9509544),2020
2020,TX,Texas,Aspire Fertility-San Antonio,San Antonio,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,62,POINT (-98.4922124 29.6152678),2020
2020,TX,Texas,"Houston IVF dba, CCRM Houston",Houston,Open,Clinic Services & Profile,Fertility preservation cycles,118,33,POINT (-95.5454521 29.7820189),2020
2020,CA,California,"Reproductive Fertility Center, LinFertility Family Foundation",Irvine,Open,Clinic Services & Profile,Deliveries,145,446,POINT (-117.773255 33.660353),2020
2020,OK,Oklahoma,OU Physicians Reproductive Medicine,Oklahoma City,Open,Clinic Services & Profile,Deliveries,121,9,POINT (-97.5009249 35.4774816),2020
2020,CT,Connecticut,Reproductive Medicine Associates of Connecticut,Norwalk,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,273,POINT (-73.4208842 41.159657),2020
2020,AZ,Arizona,Arizona Reproductive Institute,Tucson,Open,Clinic Services & Profile,Gestational carrier services,Yes,509,POINT (-110.9456203 32.3344193),2020
2020,CA,California,"Unity Fertility Center, LLC",Pasadena,Open,Clinic Services & Profile,Donor egg services,Yes,810,POINT (-118.150714 34.134987),2020
2020,FL,Florida,"Advanced Reproductive Specialists, Jacksonville Center for Reproductive Medicine",Jacksonville,Open,Clinic Services & Profile,Fertility preservation cycles,18,4,POINT (-81.5907066 30.2576625),2020
2020,FL,Florida,Boca Fertility,Boca Raton,Open,Clinic Services & Profile,Gestational carrier services,Yes,462,POINT (-80.1042564 26.3596379),2020
2020,TX,Texas,Aspire Fertility-Houston,Houston,Open,Clinic Services & Profile,Donor egg services,Yes,252,POINT (-95.4104406 29.6986432),2020
2020,NC,North Carolina,"Carolina Conceptions, PA",Raleigh,Open,Clinic Services & Profile,Total infants born,378,358,POINT (-78.7071331 35.8162475),2020
2020,NY,New York,Westchester Fertility & Reproductive Endocrinology,White Plains,Open,Clinic Services & Profile,SART member,Yes,47,POINT (-73.761185 41.0262092),2020
2020,CA,California,West Coast Fertility Center,Fountain Valley,Open,Clinic Services & Profile,Gestational carrier services,Yes,84,POINT (-117.9343068 33.715514),2020
2020,IL,Illinois,Carle Foundation Hospital Department of Reproductive Medicine,Urbana,Reorganized,Clinic Services & Profile,Total cycles,31,844,POINT (-88.2036 40.1095),2020
2020,NY,New York,"NYC In Vitro Fertilization, PC",New York,Open,Clinic Services & Profile,SART member,No,822,POINT (-73.9748035 40.7611595),2020
2020,CO,Colorado,Rocky Mountain Center for Reproductive Medicine,Fort Collins,Open,Clinic Services & Profile,Donor egg services,Yes,110,POINT (-105.0585269 40.574467),2020
2020,NY,New York,"Metropolitan Reproductive Medicine, PC",New York,Open,Clinic Services & Profile,Fertility preservation cycles,*,421,POINT (-73.980255 40.785299),2020
2020,WA,Washington,Seattle Reproductive Medicine,Seattle,Open,Clinic Services & Profile,SART member,Yes,50,POINT (-122.3414857 47.632569),2020
2020,NV,Nevada,Fertility Center of Las Vegas,Las Vegas,Open,Clinic Services & Profile,Donated embryo services,Yes,233,POINT (-115.2895463 36.1429759),2020
2020,MI,Michigan,"IVF Michigan Rochester Hills & Flint, PC",Rochester Hills,Open,Clinic Services & Profile,Total infants born,162,631,POINT (-83.1317128 42.6236444),2020
2020,WI,Wisconsin,Wisconsin Fertility Institute,Middleton,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,470,POINT (-89.5265519 43.1058149),2020
2020,OH,Ohio,University Hospitals Fertility Center,Beachwood,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,331,POINT (-81.4949648 41.4525619),2020
2020,GA,Georgia,Emory Reproductive Center,Atlanta,Open,Clinic Services & Profile,Donated embryo services,Yes,511,POINT (-84.3819815 33.7847908),2020
2020,TN,Tennessee,Nashville Fertility Center,Nashville,Open,Clinic Services & Profile,Fertility preservation cycles,54,258,POINT (-86.8096365 36.1550075),2020
2020,CA,California,Fertility Center of Southern California,Irvine,Open,Clinic Services & Profile,Verified lab accreditation,Yes,211,POINT (-117.7941488 33.6757475),2020
2020,IL,Illinois,University of Chicago Medicine Center for Reproductive Medicine and Fertility,Chicago,Open,Clinic Services & Profile,Pregnancies,42,119,POINT (-87.6388767 41.8675233),2020
2020,OK,Oklahoma,Tulsa Fertility Center,Tulsa,Open,Clinic Services & Profile,Donated embryo services,Yes,111,POINT (-95.9843317 36.1412075),2020
2020,NY,New York,Kofinas Fertility Group,New York,Open,Clinic Services & Profile,Fertility preservation cycles,193,337,POINT (-74.0125825 40.707344),2020
2020,IL,Illinois,Center for Reproductive Care,Chicago,Open,Clinic Services & Profile,Donated embryo services,Yes,57,POINT (-87.6700558 41.8729042),2020
2020,TX,Texas,Fertility Center of Dallas,Dallas,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,445,POINT (-96.7776301 32.7907713),2020
2020,CA,California,"The Fertility and Gynecology Center, Monterey Bay IVF",Monterey,Open,Clinic Services & Profile,Total cycles,71,356,POINT (-121.8017642 36.5714039),2020
2020,IN,Indiana,"Family Beginnings, PC",Indianapolis,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,352,POINT (-86.040907 39.9099317),2020
2020,CA,California,Lane Fertility Institute,Novato,Open,Clinic Services & Profile,Deliveries,20,200,POINT (-122.5596395 38.0973474),2020
2020,NY,New York,Northwell Health Fertility-NYC,New York,Reorganized,Clinic Services & Profile,Fertility preservation cycles,55,828,POINT (-73.9633151 40.7640723),2020
2020,OH,Ohio,Ohio Reproductive Medicine,Columbus,Open,Clinic Services & Profile,Deliveries,184,136,POINT (-83.0381384 40.0584787),2020
2020,CA,California,University Fertility Center,Torrance,Open,Clinic Services & Profile,Fertility preservation cycles,27,27,POINT (-118.3499451 33.8119369),2020
2020,AZ,Arizona,"Fertility Treatment Center, PC",Tempe,Open,Clinic Services & Profile,SART member,Yes,246,POINT (-111.8950998 33.3423602),2020
2020,TX,Texas,Conceive Fertility Center,Irving,Open,Clinic Services & Profile,Pregnancies,81,811,POINT (-96.95719 32.9011699),2020
2020,TX,Texas,IVFMD-Irving,Irving,Open,Clinic Services & Profile,Donated embryo services,Yes,469,POINT (-96.9555275 32.9097834),2020
2020,HI,Hawaii,Fertility Institute of Hawaii,Honolulu,Open,Clinic Services & Profile,SART member,Yes,219,POINT (-157.8394051 21.2996001),2020
2020,NY,New York,Noble Fertility Center,New York,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,617,POINT (-73.9784399 40.747797),2020
2020,IA,Iowa,"Mid-Iowa Fertility, PC",Clive,Open,Clinic Services & Profile,Verified lab accreditation,Yes,37,POINT (-93.7840312 41.6024095),2020
2020,OH,Ohio,Institute for Reproductive Health,Cincinnati,Open,Clinic Services & Profile,Total infants born,463,143,POINT (-84.4439587 39.148408),2020
2020,CT,Connecticut,Yale Fertility Center,Orange,Open,Clinic Services & Profile,Gestational carrier services,Yes,431,POINT (-72.9970282 41.2537803),2020
2020,MD,Maryland,Montgomery Fertility Center,Rockville,Open,Clinic Services & Profile,Donated embryo services,No,353,POINT (-77.150731 39.0594042),2020
2020,NC,North Carolina,"Program for Assisted Reproduction at Atrium Health's Carolinas Medical Center, CMC Women's Institute",Charlotte,Open,Clinic Services & Profile,Gestational carrier services,Yes,217,POINT (-80.8389033 35.2049751),2020
2020,WV,West Virginia,West Virginia University Center for Reproductive Medicine,Morgantown,Open,Clinic Services & Profile,Pregnancies,49,418,POINT (-79.9536756 39.6627366),2020
2020,HI,Hawaii,Pacific In Vitro Fertilization Institute,Honolulu,Open,Clinic Services & Profile,Egg cryopreservation services,Yes,115,POINT (-157.8334591 21.2998428),2020
2020,MO,Missouri,MCRM Fertility,Chesterfield,Open,Clinic Services & Profile,Deliveries,255,609,POINT (-90.6007656 38.6720126),2020
2020,FL,Florida,"New Leaders in Fertility & Endocrinology, LLC",Pensacola,Open,Clinic Services & Profile,Total infants born,94,55,POINT (-87.2040469 30.4674275),2020
2020,FL,Florida,Polcz Fertility Center,Boynton Beach,Open,Clinic Services & Profile,Donated embryo services,Yes,257,POINT (-80.1986649 26.5410013),2020
2020,TN,Tennessee,"Kutteh Ke Fertility Associates of Memphis, PLLC",Memphis,Open,Clinic Services & Profile,Donor egg services,Yes,152,POINT (-89.8568819 35.1281519),2020
2020,TX,Texas,The Centre for Reproductive Medicine,Lubbock,Open,Clinic Services & Profile,Fertility preservation cycles,0,98,POINT (-101.8884377 33.5746752),2020
2020,NV,Nevada,Nevada Fertility Center,Las Vegas,Reorganized,Clinic Services & Profile,Total infants born,112,713,POINT (-115.2422582 36.091798),2020
2020,WA,Washington,"University Reproductive Care, University of Washington",Seattle,Open,Clinic Services & Profile,Total infants born,55,180,POINT (-122.3179059 47.6588312),2020
2020,VA,Virginia,Dominion Fertility and Endocrinology,Arlington,Open,Clinic Services & Profile,Donated embryo services,Yes,327,POINT (-77.1088787 38.8820343),2020
2020,TX,Texas,Aspire Fertility-Austin,Austin,Reorganized,Clinic Services & Profile,Embryo cryopreservation services,Yes,42,POINT (-97.7432311 30.3045832),2020
2020,TX,Texas,"Fora Fertility, PLLC",Austin,Open,Clinic Services & Profile,Verified lab accreditation,Yes,843,POINT (-97.7396 30.2896),2020
2020,CO,Colorado,Rocky Mountain Center for Reproductive Medicine,Fort Collins,Open,Clinic Services & Profile,Verified lab accreditation,Yes,110,POINT (-105.0585269 40.574467),2020
2020,TX,Texas,"Fora Fertility, PLLC",Austin,Open,Clinic Services & Profile,Fertility preservation cycles,96,843,POINT (-97.7396 30.2896),2020
2020,NJ,New Jersey,"North Hudson IVF, Center for Fertility and Gynecology",Englewood Cliffs,Open,Clinic Services & Profile,Verified lab accreditation,No,147,POINT (-73.9521927 40.8746619),2020
2020,MO,Missouri,"MU Healthcare, Reproductive Health and Fertility Center",Columbia,Open,Clinic Services & Profile,Verified lab accreditation,Yes,268,POINT (-92.2878019 38.9581616),2020
2020,CA,California,LA IVF Clinic,Los Angeles,Open,Clinic Services & Profile,Donated embryo services,No,615,POINT (-118.24368 34.05223),2020
2020,TX,Texas,Center of Reproductive Medicine (CORM),Webster,Open,Clinic Services & Profile,Deliveries,237,334,POINT (-95.1332447 29.5351074),2020
2020,TX,Texas,Houston Fertility Institute,Houston,Reorganized,Clinic Services & Profile,Fertility preservation cycles,114,104,POINT (-95.5221211 29.7403727),2020
2020,VA,Virginia,Washington Fertility Center,Annandale,Open,Clinic Services & Profile,Pregnancies,35,282,POINT (-77.1864386 38.8307289),2020
2020,TX,Texas,"Austin Fertility Institute, PA",Austin,Open,Clinic Services & Profile,Total cycles,354,112,POINT (-97.7031471 30.4094715),2020
2020,CA,California,Kindbody-San Francisco,San Francisco,Open,Clinic Services & Profile,Donated embryo services,No,829,POINT (-122.4019492 37.7901907),2020
2020,OH,Ohio,University Hospitals Fertility Center,Beachwood,Open,Clinic Services & Profile,Total infants born,178,331,POINT (-81.4949648 41.4525619),2020
